#,Discourse Connector,Class,Category,BNC academic,COCA academic,BNC spoken,COCA spoken,BNC non-academic,COCA general,BNC all,COCA all
308,unusually,Clarification,Corroborative,9.9,8.5,1.2,3.4,12.1,21.4,10,7.9
309,in place of,Contrastive,Antithetic,9.9,5.4,1.8,1.1,14.1,5,7.8,3.8
310,correspondingly,Additive,Equative,9.8,3.9,0.2,0.1,5.5,0.6,3.6,1.1
311,in summary,Summation,,9.7,10.5,2,0.2,2.7,0.4,3.3,2.3
312,or else,Additive,Reinforcing,9.3,3.9,7.5,4.4,6.7,3.7,8.3,5.4
313,in any case,Contrastive,Concessive,9.2,0.6,0.4,0.5,3.8,1.7,22.9,8.9
314,as distinct from,Comparison,,9.1,2.3,0.6,0.1,4.4,0.3,3.1,0.6
315,by comparison,Contrastive,Antithetic,9.1,5.3,1.8,1.3,8,5.9,5.5,4.1
316,by and large,Clarification,Corroborative,8.9,4.3,8.9,7.4,5.2,3.2,4.9,3.8
317,at any rate,Clarification,Corroborative,8.8,2.9,4.2,1.8,6.3,1.5,6.9,2.9
318,another example,Apposition,Exemplification,8.7,8.2,4.1,4.3,5.5,3.5,4.6,4
319,lastly,Sequential,Transitionals,8.6,6.8,5.4,2.1,3.8,1.5,4.4,2.5
320,on account of,Consequential,Resultative,8.6,3.5,0.9,0.4,4.9,1,5.2,2.2
321,beside,Additive,Reinforcing,8.4,8.4,15.6,8.3,21.3,21.6,55.6,48.9
322,insofar,Clarification,Emphasizing,8.4,12.9,0.8,2.3,3.2,1.2,3,3.7
323,three,Sequential,Ordering,8.3,7.6,194.8,24.9,9.7,11.2,30.5,14.9
324,to begin with,Sequential,Ordering,8.3,6.4,6.3,11.9,5.9,4.8,6.1,6.9
325,I see,Clarification,Corroborative,8.2,13.4,221,76.1,9.3,33.8,52.7,51.9
326,by now,Sequential,Transitionals,7.9,5.9,13.1,11.6,15.3,11.4,21.5,15.4
327,in the meantime,Sequential,Transitionals,7.8,7.3,7.1,16.9,13.2,12.5,12.3,12
328,one aspect of,Clarification,Generalization,7.7,4.3,1.2,0.9,3.3,1.5,2.8,1.7
329,notwithstanding,Contrastive,Antithetic,7.7,6.5,0.8,1.6,3.2,3.2,7.4,5.8
330,vs.,Contrastive,Concessive,7.6,0.9,0.6,0,1.8,1,4.2,0.8
331,giving rise to,Consequential,Resultative,7.5,2.1,0.7,0.2,3,0.6,2.5,0.7
332,well,Clarification,Corroborative,7.5,39,1206.4,747,43,0,1467.9,1231
333,chiefly,Clarification,Emphasizing,7.3,6,0.5,0.4,7.8,2.8,7.4,3
334,you see,Clarification,Corroborative,7.2,11.1,764.3,189.5,13.8,42.6,120.3,78.6
335,to some degree,Clarification,Generalization,7,6.2,1.7,5.4,2.9,2.6,2.7,3.5
336,ostensibly,Clarification,Corroborative,7,9.4,0.1,1.6,7.4,11.2,4.2,4.2
337,preferably,Clarification,Corroborative,7,4.1,4,1,7,6.9,8,4.2
338,more accurately,Contrastive,Reformulatory,6.9,5.5,0.8,0.7,4.3,2.3,3.2,2.4
339,infrequently,Sequential,Timing,6.9,4.3,0.4,0.5,2.6,1.5,2.4,1.8
340,arising out of,Consequential,Causative,6.9,1.3,2,0.2,2.9,0.2,2.9,0.4
341,next,Sequential,Ordering,6.9,16.4,12.7,68.5,8.7,18,10,28
342,in either case,Clarification,Corroborative,6.7,3.2,0.1,0.7,2.6,1.6,2.5,1.6
343,it is evident that,Clarification,Corroborative,6.7,2.9,0.1,0,2.5,0.3,1.9,0.7
344,at the time of writing,Sequential,Timing,6.5,0.5,0.1,0,3,0.1,3.3,0.1
345,later on,Sequential,Transitionals,6.5,5.3,45.8,26.3,10.6,5.3,13.8,10.3
346,what is more,Additive,Reinforcing,6.3,3.9,0.9,0.7,5.9,1,3.9,1.4
347,generally speaking,Clarification,Corroborative,6.1,3,7.1,3.4,3.3,1.5,3.2,2
348,for the first time,Sequential,Transitionals,6.1,7.1,2.6,13.7,12.3,11.3,10.4,11.3
349,resembling,Comparison,,6,4.1,0.2,0.7,4.5,4.7,3.8,3.8
350,minus,Additive,Reinforcing,6,6.2,124.9,4,3.7,8.6,18.3,6.6
351,foremost,Clarification,Emphasizing,6,11.9,2.4,7.7,8.8,8.4,6.2,8.1
352,periodically,Sequential,Transitionals,5.8,10.9,1.3,2.6,6.3,7.5,4.1,6.4
353,thereafter,Sequential,Ordering,5.6,5.3,0.2,1.6,5.8,2.8,3.3,2.8
354,strictly speaking,Clarification,Corroborative,5.5,2,1.4,0.2,2.2,0.6,2.6,0.8
355,alternatively,Contrastive,Replacive,5.5,1.8,0.1,0.1,1.7,0.3,17.8,3.6
356,beforehand,Sequential,Transitionals,5.5,2.4,8.5,4.4,6.9,3.6,6.9,3.4
357,on this basis,Consequential,Resultative,5.5,1.4,0.2,0.2,2.7,0.2,2.4,0.4
358,as a rule,Clarification,Generalization,5.4,2.5,2,0.7,3.2,2.1,3,1.8
359,more precisely,Apposition,Restatement,5.4,3.5,0.3,0.2,2.3,1,2.3,2
360,the following example,Apposition,Exemplification,5.3,1.4,0,0,2.2,0.1,1.5,0.3
361,honestly,Clarification,Corroborative,5.2,4.5,44.1,25.1,4.1,10.1,14.2,13.2
362,what if,Consequential,Conditional,5.2,8.2,18.4,29.8,4.7,18,10.5,26.5
363,of great importance,Clarification,Emphasizing,5,1.8,0.7,0.3,2.7,0.3,2.2,0.6
364,in much the same way,Comparison,,4.8,2.6,0.6,0.4,3.6,1.5,2.5,1.3
365,broadly speaking,Clarification,Generalization,4.8,0.9,0.9,0.3,2.1,0.3,1.8,0.4
366,all right,Sequential,Emphasizing,4.8,3.3,79.9,505.5,11.3,14.5,65.8,142
367,unexpectedly,Contrastive,Antithetic,4.8,5.1,1,2.7,9.2,16.3,9,6
368,after all,Clarification,Emphasizing,4.7,34.8,2.5,38.3,4.9,43.5,63.5,60
369,by the way,Sequential,Transitionals,4.7,4.3,41.7,93.9,5.1,11.8,15.9,29.4
370,at the present time,Sequential,Timing,4.7,2.8,6.8,2.9,4.6,0.6,3.4,1.4
371,to this end,Consequential,Resultative,4.7,5.5,0.7,0.1,6.1,0.8,3.3,1.5
372,lest,Consequential,Resultative,4.6,6,0.7,1.5,5.2,4.3,4.2,4.5
373,in truth,Clarification,Emphasizing,4.4,3.6,0.5,1.7,2.4,4.2,3.9,4.7
374,I suppose,Clarification,Corroborative,4.1,4,240.1,24.9,11.5,7.2,70.4,21.2
375,in the same way,Comparison,,4.1,2.8,1,0.9,3.3,1.2,18.5,6.7
376,of particular importance,Clarification,Emphasizing,4.1,1.7,0.1,0,1.7,0.1,1.4,0.4
